Date,A,Ae
01/01/1982,1.726764995474434,1.6217502372587638
01/04/1982,1.7133080222809434,1.6907716341336587
01/07/1982,1.7056076483408704,1.7013403537916896
01/10/1982,1.7124658146975515,1.7249652861176914
01/01/1983,1.7014454940756494,1.759369450030814
01/04/1983,1.7061116228529398,1.7708846674916785
01/07/1983,1.6969471960987992,1.7758476891813553
01/10/1983,1.6931201860172134,1.8424575325125327
01/01/1984,1.6989925629712348,1.783456684015338
01/04/1984,1.7142394606342417,1.7946413656234472
01/07/1984,1.7193092432335484,1.8470968868622704
01/10/1984,1.7230955331451698,1.906348961697249
01/01/1985,1.7392598742740852,1.8921853726636564
01/04/1985,1.7379249090876667,1.913176622880169
01/07/1985,1.752390103459627,1.9523385014836152
01/10/1985,1.750617312635949,1.956638415336145
01/01/1986,1.7609912057933843,1.938124327665937
01/04/1986,1.7753812291367248,1.9502900596764232
01/07/1986,1.781382591112218,2.002866610661737
01/10/1986,1.7745759763524664,2.031932264286356
01/01/1987,1.7536459356856802,1.9705151488908488
01/04/1987,1.7676071513251923,1.970002283299093
01/07/1987,1.7701797045190175,1.973250680783788
01/10/1987,1.7750897544580129,1.9995498529125355
01/01/1988,1.791463821027376,1.9540431039697328
01/04/1988,1.799273354273166,1.999628366493465
01/07/1988,1.8014080454463706,1.9680066702960013
01/10/1988,1.8009803014174952,1.9796372658918449
01/01/1989,1.8028338494862757,1.9907821062076572
01/04/1989,1.8062245541222235,2.0161835571975852
01/07/1989,1.820141852670016,2.050612457302063
01/10/1989,1.8166192809992352,1.9830518116166884
01/01/1990,1.8239760215106215,2.084577191578224
01/04/1990,1.8204182951955985,2.002060241024107
01/07/1990,1.8282117900092116,2.018876178718396
01/10/1990,1.819588009129126,2.051523571
01/01/1991,1.8175408496612564,2.0429223209654586
01/04/1991,1.8363462955862944,2.0534179415594545
01/07/1991,1.835973994816859,2.028338899529478
01/10/1991,1.8311790295860857,2.0222046622693677
01/01/1992,1.86963291,2.054702102055335
01/04/1992,1.8691212684153151,2.0465795648532628
01/07/1992,1.881376445601699,2.0876607752687124
01/10/1992,1.8775100112040728,2.092136818520105
01/01/1993,1.850186042424791,2.0848789417392513
01/04/1993,1.8348029796703809,2.131674288776105
01/07/1993,1.819791145314387,2.089319894421047
01/10/1993,1.8306048567581803,2.0923634518449896
01/01/1994,1.8153739676480396,2.065013410284386
01/04/1994,1.813511610307352,2.136920131190289
01/07/1994,1.8077315600021255,2.164179784
01/10/1994,1.8196341579935655,2.193847609633576
01/01/1995,1.8226524254377583,2.1765337013860995
01/04/1995,1.8392364206723772,2.176311991290361
01/07/1995,1.8373682018889583,2.166438742538356
01/10/1995,1.8410137083979432,2.1865522641649635
01/01/1996,1.868568961432154,2.186780389788985
01/04/1996,1.859898027729888,2.2333097881321784
01/07/1996,1.8589305195608792,2.2746995688990994
01/10/1996,1.8656579770255035,2.2458890336251285
01/01/1997,1.8488961844550371,2.268850539707651
01/04/1997,1.8678275615319928,2.2855312079774515
01/07/1997,1.883927774,2.304206708702405
01/10/1997,1.874553550778226,2.300449070397352
01/01/1998,1.8855737971757012,2.3666356115980207
01/04/1998,1.9017737082235864,2.3470792323660525
01/07/1998,1.9199765775872135,2.3479124130393725
01/10/1998,1.9199241170778747,2.4444435333250314
01/01/1999,1.9456834150474176,2.468209122
01/04/1999,1.947717040960839,2.4884547582224106
01/07/1999,1.9596932757883023,2.511120929299852
01/10/1999,1.987765366847708,2.5938649431864333
01/01/2000,1.9680033846917795,2.600185447898496
01/04/2000,2.004338670542366,2.610537717
01/07/2000,2.001169542188964,2.6292608207887205
01/10/2000,2.0313392020979593,2.645195570158504
01/01/2001,2.0110686165813574,2.645623444883782
01/04/2001,2.0392533957105723,2.6980123836109593
01/07/2001,2.0436961428003473,2.692366728841491
01/10/2001,2.071398044564196,2.7131456478907707
01/01/2002,2.089704638345288,2.7270895433307003
01/04/2002,2.087548406362662,2.7027728995723908
01/07/2002,2.102600863950923,2.724946841
01/10/2002,2.092977257,2.737197153
01/01/2003,2.1027733659189667,2.7422725441757576
01/04/2003,2.128152135936133,2.843698293461602
01/07/2003,2.162069239,2.8615621897856043
01/10/2003,2.153802861681462,2.878308791659277
01/01/2004,2.1514356645716743,2.8716551141490996
01/04/2004,2.170007361,2.894040583542881
01/07/2004,2.186833957878375,2.9528859133917633
01/10/2004,2.207914802,2.951724064878224
01/01/2005,2.217330099213351,3.013170585459578
01/04/2005,2.218200236411831,3.041725651121715
01/07/2005,2.225818831873174,3.114757865607047
01/10/2005,2.203120429451877,3.1695710546506177
01/01/2006,2.213071000763989,3.2501843743478767
01/04/2006,2.1941219590546384,3.2114667995549886
01/07/2006,2.177441232551475,3.1817724000875867
01/10/2006,2.1815826474399223,3.216317179406413
01/01/2007,2.179976577620716,3.19827894
01/04/2007,2.1765603008270773,3.225470279116362
01/07/2007,2.196598359356097,3.2605411679529506
01/10/2007,2.224317148536904,3.321108145851837
01/01/2008,2.194338053436387,3.318767589457791
01/04/2008,2.222063245755636,3.409023785078613
01/07/2008,2.2258904335117093,3.5153608848105975
01/10/2008,2.2009649735271757,3.3098030616894136
01/01/2009,2.2244975982568302,3.322773370756438
01/04/2009,2.2831886729984014,3.444913661309482
01/07/2009,2.2845871382299427,3.473613351377297
01/10/2009,2.29331796,3.455236212991106
01/01/2010,2.272983632599178,3.4001108969795575
01/04/2010,2.261774635,3.398460631776382
01/07/2010,2.2627294843120356,3.406169422462031
01/10/2010,2.2530751570737366,3.471753913831743
01/01/2011,2.242172755975836,3.4682744596463997
01/04/2011,2.236217286590482,3.5503135199118914
01/07/2011,2.2200932987500996,3.5220105503193753
01/10/2011,2.2349367324665375,3.6277053062306543
01/01/2012,2.2388567156171555,3.769765632970344
01/04/2012,2.237310212,3.654705876435026
01/07/2012,2.234595955738801,3.661772015024885
01/10/2012,2.210584929,3.6641235238869982
01/01/2013,2.2220324018655813,3.671883819702692
01/04/2013,2.212921288457376,3.690447494008928
01/07/2013,2.2314742211720473,3.725110006025326
01/10/2013,2.2384668812483617,3.650844742124712
01/01/2014,2.2099660731698085,3.6109339204675206
01/04/2014,2.226288789,3.774911705132359
01/07/2014,2.234728742766627,3.8284713355665176
01/10/2014,2.210751197786137,3.765867688
01/01/2015,2.2259922772283898,3.711513870210872
01/04/2015,2.2441315519185507,3.801389650879465
01/07/2015,2.2353181230553893,3.813716375931232
01/10/2015,2.217790612609081,3.965593612116499
01/01/2016,2.232395886661555,3.930723955517643
01/04/2016,2.2253430212731025,3.9114540087914462
01/07/2016,2.238135288915062,3.866632833601787
01/10/2016,2.246293265146958,3.969081792512797
01/01/2017,2.2499005966792756,4.057539741063689
01/04/2017,2.236215989515571,3.9869797708116095
01/07/2017,2.258316330342371,4.046104225366384
01/10/2017,2.261295015854584,4.023029319987672
01/01/2018,2.259102802874956,4.017333078264096
01/04/2018,2.261598656,4.049593677
01/07/2018,2.2743390974680007,4.052175823246777
01/10/2018,2.264163069499064,4.034392639674917
01/01/2019,2.289384650175668,4.043530031476268
01/04/2019,2.3113794898380347,4.200659776815583
01/07/2019,2.333440272412303,4.189873476878348
01/10/2019,2.34428209,4.211619632245503
01/01/2020,2.333756510284695,4.281349983902434
01/04/2020,2.3789705035114164,4.305617471
01/07/2020,2.3748934126079835,4.396421286829352
01/10/2020,2.353752427862961,4.380043224947172
01/01/2021,2.3571787473153747,4.4717436206284855
01/04/2021,2.371128075355034,4.406250972843829
01/07/2021,2.370596909475685,4.4264841139298525
01/10/2021,2.400307231195719,4.581073319185172
01/01/2022,2.369377819954022,4.473284372562457
01/04/2022,2.349188181,4.576526415574807
01/07/2022,2.3525319630199406,4.596934177368478
01/10/2022,2.3710264233863394,4.631553244
